country_label,year,growth_gdp,inflation,popul,log_popul,startbusin,unemp,urban,schooling,rule_of_law,voice_account,pol_stability,gov_effective,regulatory_qual,control_corrup,dummy_eu,covid_year,dummy_oecd
Indonesia,2018,3.987824860890754,3.818323569433346,267670549,19.4052674874964,76.1,4.3899998664856,55.325,9,-0.3154930472373962,0.1543517261743546,-0.5459080934524536,0.1805828362703323,-0.1469696015119553,-0.2497391700744629,0,0,0
Indonesia,2019,3.871444141513464,1.598798134149632,270625567,19.41624675186895,79.4,3.59999990463257,55.985,9,-0.3424213230609894,0.132109060883522,-0.4934045672416687,0.1820512264966965,-0.09439357370138168,-0.4160328507423401,0,0,0
Indonesia,2020,-3.107142190346536,-0.4561300660192273,273523621,19.42689854172773,81.2,4.28,56.641,9,-0.3387444019317627,0.09967636317014694,-0.500208854675293,0.3691624104976654,0.07765856385231018,-0.3974239230155945,0,1,0
Israel,2014,1.945078388401015,1.005840407042925,8215700,15.92155751580508,90.7,5.89,92.104,12,1.107591152191162,0.7275789976119995,-1.039735317230225,1.210687160491943,1.216221213340759,0.8658848404884338,0,0,1
Israel,2015,0.212807987342913,2.874358514391815,8380100,15.94137040556129,90.8,5.25,92.179,12,1.16215717792511,0.7449203133583069,-1.094912767410278,1.387448072433472,1.272597908973694,0.9433661699295044,0,0,1
Israel,2016,1.811032072090811,1.032378739564592,8546000,15.96097389518611,90.8,4.8,92.256,12,1.072230935096741,0.786663830280304,-0.7945363521575928,1.345055103302002,1.312629580497742,1.18683660030365,0,0,1
Israel,2017,1.567289815482269,0.1792143933179631,8713300,15.98036115193022,92.5,4.22,92.336,12,1.024877190589905,0.6972239017486572,-0.8879560232162476,1.388273954391479,1.274343371391296,0.8293290734291077,0,0,1
Israel,2018,1.504795492142648,1.258051298078172,8882800,15.99962738058224,92.6,4.0,92.418,12,0.9940095543861389,0.6214112043380737,-0.9116702675819397,1.206715822219849,1.246310472488403,0.7872222065925598,0,0,1
Israel,2019,1.494161784328156,2.231947795693159,9054000,16.01871720697804,92.6,3.8,92.501,12,1.04776394367218,0.6601396799087524,-0.7933715581893921,1.325324773788452,1.281104683876038,0.80635005235672,0,0,1
Israel,2020,-4.164266996762322,0.8207380138129565,9216900,16.03654931339975,94.1,4.32999992370605,92.587,12,0.9973904490470886,0.6552317142486572,-0.8282074332237244,1.096136808395386,1.241640448570251,0.565775454044342,0,1,1
Italy,2014,-0.9178138797533535,0.9132412619814687,60789140,17.92292171256117,84.2,12.68,69.272,12,0.4226374924182892,0.9992626309394836,0.4581654071807861,0.4759765863418579,0.6418827772140503,0.01161380112171173,1,0,1
